# Expression data file generated by Gemma on 02/05/2009
# shortName=GSE59
# name=Human cancer cell lines
# Experiment details: http://chibi.ubc.ca/Gemma/expressionExperiment/showExpressionExperiment.html?id=452
# If you use this file for your research, please cite the Gemma web site: http://chibi.ubc.ca/Gemma
Probe	GeneSymbol	GeneName	GSE59_bioMaterial_68___K.562(CL7005)LEUKEMIA	GSE59_bioMaterial_67___HL.60(CL7008)LEUKEMIA	GSE59_bioMaterial_66___OVCAR.4(CL6002)OVARIAN	GSE59_bioMaterial_7___HCT.15_CL4015__COLON	GSE59_bioMaterial_6___HCC.2998(CL4002)COLON	GSE59_bioMaterial_3___COLO205_CL4010_COLON	GSE59_bioMaterial_2___SW.620_CL4009_COLON	GSE59_bioMaterial_1___HT.29___CL4001__COLON	GSE59_bioMaterial_5___KM12__CL4017_COLON	GSE59_bioMaterial_4___HCT.116_CL4003_COLON	GSE59_bioMaterial_8___ADR.RES_CL5002_UNKNOWN	GSE59_bioMaterial_11___K562A.repro	GSE59_bioMaterial_10___K562B.repro	GSE59_bioMaterial_14___SR_CL7019__LEUKEMIA	GSE59_bioMaterial_9___MOLT.4_CL7006_LEUKEMIA	GSE59_bioMaterial_12___CCRF.CEM_CL7003_LEUKEMIA	GSE59_bioMaterial_13___RPMI.8226_CL7010__LEUKEMIA	GSE59_bioMaterial_17___OVCAR.8_CL6005_OVARIAN	GSE59_bioMaterial_16___OVCAR.5_CL6003_OVARIAN	GSE59_bioMaterial_15___OVCAR.3_CL6001_OVARIAN	GSE59_bioMaterial_19___IGROV1_CL6010_OVARIAN	GSE59_bioMaterial_18___SK.OV.3_CL6011_OVARIAN	GSE59_bioMaterial_20___DU.145_CL11003_PROSTATE	GSE59_bioMaterial_21___SK.MEL.28_CL10008_MELANOMA	GSE59_bioMaterial_23___SK.MEL.5_CL10007_MELANOMA	GSE59_bioMaterial_27___SK.MEL.2_CL10005_MELANOMA	GSE59_bioMaterial_22___UACC.257CL10021_MELANOMA	GSE59_bioMaterial_24___MALME.3M_CL10002_MELANOMA	GSE59_bioMaterial_25___M.14_CL10014_MELANOMA	GSE59_bioMaterial_26___UACC.62_CL10020_MELANOMA	GSE59_bioMaterial_28___NCI.H23_CL1001__NSCLC	GSE59_bioMaterial_34___A549_CL1004__NSCLC	GSE59_bioMaterial_32___HOP.62_CL1026_NSCLC	GSE59_bioMaterial_36___NCI.H322_CL1017_NSCLC	GSE59_bioMaterial_33___NCI.H460_CL1021_NSCLC	GSE59_bioMaterial_31___NCI.H522_CL1003__NSCLC	GSE59_bioMaterial_29___EKVX__CL1008_NSCLC	GSE59_bioMaterial_35___HOP.92__CL1029_NSCLC	GSE59_bioMaterial_30___NCI.H226_CL1013__NSCLC	GSE59_bioMaterial_39___SF.295_CL12015_CNS	GSE59_bioMaterial_37___SNB.19_CL12002_CNS	GSE59_bioMaterial_38___SF.539__CL12016_CNS	GSE59_bioMaterial_41___U251_CL12009_CNS	GSE59_bioMaterial_40___SF.268__CL12014_CNS	GSE59_bioMaterial_48___BT.549_CL5013_BREAST	GSE59_bioMaterial_52___BreastTumor16XNCIreference	GSE59_bioMaterial_44___MDA.N_CL5012__BREAST	GSE59_bioMaterial_47___MCF7_CL5001__BREAST	GSE59_bioMaterial_49___BC2LymphNodeXNCIreference	GSE59_bioMaterial_53___MDA.MB.231_CL5005__BREAST	GSE59_bioMaterial_43___MCF7D.repro	GSE59_bioMaterial_42___BreastTumor2XNCIreference	GSE59_bioMaterial_51___MDA.MB.435_CL5011__BREAST	GSE59_bioMaterial_45___MCF7A.repro	GSE59_bioMaterial_46___T.47D__CL5014__BREAST	GSE59_bioMaterial_50___HS_578T_CL5006__BREAST	GSE59_bioMaterial_55___786.0__CL9018_RENAL	GSE59_bioMaterial_61___A498_CL9013_RENAL	GSE59_bioMaterial_57___RXF.393_CL9016__RENAL	GSE59_bioMaterial_58___UO.31_CL9004__RENAL	GSE59_bioMaterial_60___SNB.75_CL12005_RENAL	GSE59_bioMaterial_54___TK.10_CL9024_RENAL	GSE59_bioMaterial_62___SN12C_CL9008__RENAL	GSE59_bioMaterial_56___ACHN_CL9023_RENAL	GSE59_bioMaterial_59___CAKI.1(CL9015)RENAL	GSE59_bioMaterial_63___NormalBreast	GSE59_bioMaterial_64___LOXIMVI(CL10001)MELANOMA	GSE59_bioMaterial_65___PC.3(CL11001)PROSTATE
9774			NaN	1.144	NaN	0.093	-0.384	-0.273	-0.057	-0.036	-0.775	NaN	0.536	0.127	0.317	0.0090	-0.22	0.155	NaN	0.422	NaN	NaN	NaN	NaN	0.32	-0.664	0.389	NaN	NaN	0.547	NaN	0.09	-0.28	-0.543	-0.775	-0.638	NaN	0.532	NaN	0.729	NaN	NaN	0.568	NaN	NaN	-0.179	NaN	NaN	0.335	0.806	NaN	NaN	0.399	NaN	NaN	0.172	0.626	NaN	NaN	NaN	-0.117	NaN	NaN	-0.263	NaN	0.319	-0.242	1.258	-0.43	NaN	
9775	USF2	upstream transcription factor 2, c-fos interacting	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
9776	UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	-0.397	-1.525	0.856	-0.562	-0.523	-0.372	-0.215	-0.779	0.014	-0.58	0.014	0.094	0.082	-1.284	-1.001	-1.162	-1.462	0.633	-0.212	NaN	-0.074	0.992	-0.14	-1.408	-0.666	-0.453	-1.421	-0.816	-0.786	-0.932	-0.441	-0.011	0.632	-0.21	NaN	0.316	0.206	0.445	0.049	-0.505	0.312	0.955	0.475	0.131	0.288	-0.276	-0.439	-0.889	-0.381	1.35	-0.918	-0.375	-0.337	-0.999	-0.538	0.7	0.053	0.38	0.388	0.288	0.039	0.304	0.336	0.831	0.048	-0.393	0.724	0.817	
9777	BOLA2|CORO1A|ZNF785	bolA homolog 2 (E. coli)|coronin, actin binding protein, 1A|zinc finger protein 785	-1.106	2.519	-1.404	0.696	-0.398	-1.314	-0.969	-0.812	-0.96	-1.108	-0.972	-0.391	0.428	1.049	2.132	1.499	2.269	-0.607	-1.321	NaN	-1.209	NaN	-1.018	-1.114	-1.084	-0.984	NaN	-0.908	NaN	-1.456	-0.694	-1.147	-1.143	-0.349	NaN	-0.208	-0.839	NaN	-1.239	NaN	-1.223	NaN	-0.467	-0.751	-1.099	0.369	-1.113	-0.581	NaN	-0.993	0.281	0.729	-1.026	-0.085	-0.671	NaN	-1.651	-1.582	-1.233	-1.039	NaN	-0.8	-0.849	-0.974	-0.98	NaN	-1.265	-1.17	
9778	EIF3E|EIF3S6	eukaryotic translation initiation factor 3, subunit E|	0.602	0.196	-1.151	0.446	0.884	0.177	0.556	0.428	1.495	1.064	0.739	0.472	0.616	-0.153	-0.334	-0.729	0.417	0.504	0.264	NaN	0.121	-0.502	-0.03	0.085	1.159	-0.308	-0.134	-0.406	-1.179	-0.135	0.235	-0.017	0.363	-0.097	-0.079	-0.129	-0.709	0.603	-0.482	-0.715	-0.861	0.901	-0.653	-1.241	1.215	-1.185	0.012	0.908	-0.857	0.814	0.753	0.889	-0.227	1.387	-0.083	0.189	0.552	0.0010	0.358	-0.032	-0.757	0.053	-0.097	-0.14	0.149	-0.621	0.122	-0.023	
9779	KIAA1704	KIAA1704	0.131	0.489	-0.293	0.623	0.51	0.745	0.669	1.044	-0.284	0.346	0.39	0.01	0.115	0.342	0.378	0.063	NaN	0.288	0.094	NaN	0.345	0.092	0.445	-0.161	-0.185	NaN	NaN	NaN	NaN	-0.266	-0.102	-0.244	-0.126	-0.074	NaN	0.351	0.309	NaN	0.326	NaN	0.101	NaN	0.2	-0.474	0.25	NaN	-0.726	0.464	NaN	0.301	0.511	0.042	-0.999	0.83	0.659	-0.036	-0.344	0.354	0.165	-0.222	-0.434	-0.359	0.284	0.312	0.306	NaN	-0.059	0.102	
978	ZNF605|DKFZp686B222	zinc finger protein 605|	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
9780	RNF141	ring finger protein 141	0.629	NaN	NaN	0.738	0.874	1.839	0.731	2.348	0.632	2.958	0.12	-0.061	0.235	-0.26	0.569	0.289	NaN	-0.225	1.159	NaN	0.85	0.655	0.244	0.78	0.464	NaN	NaN	NaN	NaN	0.466	0.027	0.274	-0.028	1.823	NaN	0.361	1.068	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.312	-0.049	NaN	0.97	NaN	0.261	0.843	0.027	NaN	NaN	-0.247	1.255	NaN	-0.014	NaN	0.584	0.033	1.392	0.297	NaN	
9781	SNX29|FLJ00066	sorting nexin 29|	NaN	NaN	NaN	NaN	NaN	1.911	NaN	NaN	NaN	NaN	0.707	NaN	NaN	NaN	NaN	0.27	NaN	0.371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.179	NaN	NaN	NaN	NaN	NaN	NaN	
9782	BCYRN1|C14orf179	brain cytoplasmic RNA 1 (non-protein coding)|chromosome 14 open reading frame 179	NaN	-1.815	NaN	0.03	-0.066	-0.146	0.165	NaN	0.15	NaN	0.406	-1.485	NaN	-0.843	-0.784	-0.568	NaN	-0.103	0.555	0.634	0.146	0.628	0.647	-0.342	-0.704	0.477	NaN	NaN	NaN	0.754	0.086	0.381	0.137	0.941	NaN	0.204	0.54	NaN	-0.013	NaN	-0.213	NaN	0.371	NaN	-0.085	NaN	-0.669	1.21	0.839	NaN	0.719	0.778	NaN	0.904	1.408	NaN	0.397	NaN	-0.439	0.115	0.187	0.164	0.04	0.443	-0.402	NaN	0.474	0.509	
9783	BAZ2B|AK023566	bromodomain adjacent to zinc finger domain, 2B|	-0.439	-0.616	-1.306	-0.841	-0.81	-0.586	-0.154	-1.256	-0.525	-1.108	-0.727	-1.003	-0.345	0.669	-0.051	-0.772	-0.701	-0.787	-0.798	0.737	0.7	-0.074	-1.369	-1.171	-1.246	-1.064	-0.71	-0.803	-1.099	-0.527	-0.43	-0.961	-0.199	-0.645	NaN	-0.08	0.503	-0.849	-0.482	0.579	-0.547	1.697	0.018	-0.474	0.053	1.054	-1.481	-0.922	0.979	-1.721	-1.038	1.049	-1.727	-0.571	-0.625	2.45	-1.47	-1.158	0.917	-0.234	1.506	-0.988	-1.504	-0.439	-1.263	0.457	-1.179	-1.097	
9784	TBL1X	transducin (beta)-like 1X-linked	NaN	NaN	NaN	NaN	NaN	NaN	0.28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.225	NaN	NaN	NaN	NaN	NaN	NaN	-0.048	0.338	NaN	-0.472	NaN	NaN	0.711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.068	NaN	NaN	NaN	NaN	0.956	NaN	NaN	0.097	NaN	1.776	0.64	NaN	NaN	NaN	
9785	PPM1F	protein phosphatase 1F (PP2C domain containing)	0.158	-0.472	-0.602	0.264	0.507	0.739	0.367	0.316	0.42	0.31	0.742	-0.224	-0.302	0.308	1.162	0.528	-0.573	0.125	-0.074	NaN	0.057	1.048	1.097	-0.547	-0.0050	0.03	-0.209	0.028	-0.869	0.655	0.083	0.279	0.609	0.444	NaN	0.351	0.132	0.364	-0.492	0.511	0.862	NaN	0.964	0.564	1.324	0.0040	0.214	0.137	-0.48	0.376	NaN	-0.419	0.415	-0.273	0.092	-0.196	0.265	0.504	0.015	0.077	0.559	-0.189	0.162	0.344	-0.323	-0.293	0.581	0.14	
9786	FHL1	four and a half LIM domains 1	NaN	0.114	0.042	0.323	0.251	0.0090	0.735	-0.552	-0.12	-0.18	-0.522	0.052	0.041	-0.278	0.027	-0.354	NaN	0.41	-0.364	-0.118	-0.098	0.616	0.153	-0.58	NaN	0.082	0.111	NaN	NaN	-0.594	-0.171	-0.345	-0.817	-0.27	NaN	0.411	NaN	0.358	-0.013	NaN	-0.631	NaN	0.18	-0.193	0.75	NaN	-0.013	0.824	NaN	0.027	NaN	0.497	-0.193	0.558	0.376	-0.815	0.06	0.214	0.452	0.018	NaN	0.089	0.068	1.143	0.195	NaN	-0.194	0.433	
9787	KHDRBS1	KH domain containing, RNA binding, signal transduction associated 1	0.762	0.277	-0.485	0.015	0.166	0.325	0.757	0.052	-0.043	0.208	0.341	0.461	0.102	0.576	1.133	0.48	0.219	0.244	-0.338	-0.263	0.212	0.279	0.227	-0.295	-0.043	-0.277	-0.231	-0.64	-0.678	0.295	0.195	-0.3	0.032	-0.181	NaN	0.262	-0.258	-0.542	0.152	-0.016	0.124	0.04	0.526	0.112	0.517	-1.252	-0.303	-0.288	-1.717	-0.477	-0.0060	-1.307	-0.196	-0.143	-0.057	-0.542	0.465	-0.379	-0.059	0.0060	-0.517	-0.513	0.938	-0.048	-0.054	-1.542	0.144	-0.103	
9788	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.106	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.223	NaN	NaN	NaN	-0.503	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.096	0.437	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.66	NaN	NaN	NaN	
9789	TRAM2	translocation associated membrane protein 2	-0.776	-1.244	-1.072	-1.591	-1.127	0.159	-1.75	-2.347	-1.544	-1.239	0.78	-1.039	-1.188	-2.848	-0.921	-0.704	1.017	0.859	-0.053	-0.195	-1.16	0.435	-0.678	-0.569	-1.69	-0.0050	-0.573	-0.108	-0.827	0.555	-1.392	-0.778	0.073	-0.638	-2.025	0.571	-1.113	0.023	0.026	0.862	0.802	0.992	-0.177	0.616	1.06	-0.459	0.42	-0.683	NaN	2.002	-0.559	-1.363	0.138	-0.482	-0.399	2.353	-0.33	-0.07	0.37	0.052	0.466	-0.699	1.005	-0.93	-0.614	-1.657	-0.049	-0.939	
979	MGC13057	hypothetical protein MGC13057	0.768	0.078	1.171	0.113	0.533	0.319	0.276	0.177	-0.198	0.497	0.217	0.905	0.825	0.403	0.906	1.004	1.032	0.32	0.394	0.487	0.583	0.605	0.243	0.617	-0.113	1.107	NaN	-0.194	0.805	0.298	0.397	0.537	1.101	-0.0080	1.12	0.474	NaN	0.617	0.415	NaN	1.134	0.743	0.769	1.028	1.388	-1.289	0.988	0.956	NaN	1.298	0.985	-0.873	0.941	0.827	0.137	0.331	0.688	1.162	0.582	0.011	0.495	0.403	0.616	0.317	0.279	NaN	-0.423	-0.167	
9790	NHP2L1	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	0.561	0.793	-0.267	0.336	0.646	0.155	0.457	-0.671	0.317	0.513	0.271	0.206	0.389	0.742	0.701	-0.063	0.839	0.311	0.784	-0.042	0.248	-0.013	-0.323	-0.187	0.67	2.359	0.201	-0.026	-0.376	0.43	-0.121	-0.517	-0.229	0.157	NaN	0.603	-0.297	0.401	-0.126	-0.127	-0.626	NaN	-1.153	-0.149	0.262	-1.176	1.139	0.221	-0.4	0.558	-0.289	-0.132	1.328	-0.137	-0.408	0.022	-0.111	-1.114	-0.931	-0.586	-1.171	-0.869	0.181	0.581	-0.299	NaN	-0.32	0.013	
9791			0.319	-0.797	0.233	0.501	0.868	0.227	0.836	-0.078	0.388	0.44	0.741	-0.173	0.221	-0.207	0.257	-0.47	0.531	1.48	0.252	0.045	0.242	0.291	0.337	-0.113	0.036	0.683	-0.082	0.127	-0.213	0.471	-0.183	-0.325	-0.038	1.048	NaN	-0.377	0.343	0.271	0.46	0.683	0.95	NaN	0.478	0.56	0.441	NaN	0.666	-0.284	NaN	0.64	NaN	NaN	0.854	-0.271	0.082	0.706	-0.35	-0.101	-0.224	0.282	-0.08	-0.804	0.109	-0.08	-0.642	NaN	-0.229	0.387	
9792	MEF2A|LYSMD4	myocyte enhancer factor 2A|LysM, putative peptidoglycan-binding, domain containing 4	NaN	NaN	NaN	0.631	0.367	0.596	0.484	0.449	0.183	NaN	0.986	-0.447	-0.58	-0.485	1.132	0.095	NaN	0.882	0.682	-0.223	0.234	1.224	0.506	0.172	0.284	0.664	0.677	1.554	0.858	0.756	-0.098	-0.252	-0.132	1.062	NaN	-0.248	NaN	NaN	0.303	NaN	0.336	NaN	0.222	-0.325	1.035	0.856	0.431	-0.048	NaN	0.237	NaN	1.09	0.152	0.121	-0.117	0.665	-0.05	NaN	0.432	1.25	0.219	0.424	-0.119	0.602	-0.739	0.845	0.151	NaN	
9793	RBP4	retinol binding protein 4, plasma	NaN	NaN	NaN	0.552	-0.489	-0.515	-0.173	NaN	-0.011	NaN	-0.656	-0.51	NaN	NaN	0.761	0.672	NaN	-0.158	-0.07	-0.441	-0.25	0.319	-0.488	-0.695	NaN	NaN	NaN	NaN	NaN	-0.858	-0.58	-0.0010	-0.112	-0.036	NaN	NaN	NaN	NaN	-0.532	NaN	0.255	NaN	0.219	NaN	NaN	NaN	-0.789	1.055	NaN	NaN	NaN	0.937	-1.363	1.171	NaN	NaN	NaN	NaN	-0.284	NaN	NaN	-0.011	NaN	NaN	-1.033	NaN	-0.062	1.243	
9794	COL3A1	collagen, type III, alpha 1	-4.883	-3.9	-3.661	-3.276	-3.383	-5.115	-4.412	-6.818	-3.45	-3.008	-3.964	-3.479	-2.151	-5.113	-4.581	-4.237	-4.025	-4.369	-3.322	0.365	-3.069	-4.831	-3.933	-3.489	-5.254	-4.082	-3.232	-3.023	-4.51	-4.75	-3.65	-3.653	-4.228	-2.98	NaN	-1.284	-2.137	-5.566	1.463	-3.081	-4.418	3.828	-5.051	-5.166	-0.331	2.698	-5.236	-4.125	2.066	-4.289	-3.636	2.604	-6.005	-3.58	-3.852	2.88	-3.194	-2.979	-4.042	-4.934	2.893	-4.666	-3.637	-3.292	-4.704	-0.431	-3.379	-2.873	
9795	PPP2CA|CDKN2AIPNL	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform|CDKN2A interacting protein N-terminal like	0.318	-0.777	0.327	0.426	0.641	0.453	-0.072	0.034	0.338	0.187	0.309	-0.063	0.373	0.147	0.925	0.146	-0.179	0.734	0.418	0.393	-0.194	0.46	0.434	-0.344	-0.31	0.268	-0.091	-0.498	-0.832	0.313	0.148	-0.114	0.69	0.106	NaN	0.265	-0.271	0.312	0.411	0.584	0.592	1.106	0.48	0.262	0.472	-0.649	-0.046	0.638	-0.114	0.713	0.278	0.097	-0.185	0.46	-0.01	-0.171	0.363	0.199	-0.201	-0.0050	-0.156	0.068	0.496	0.217	-0.148	-1.046	0.346	-0.381	
9796	CR600473		NaN	NaN	NaN	0.756	0.147	0.235	0.377	NaN	NaN	NaN	0.027	-0.367	NaN	NaN	1.076	0.131	NaN	-0.052	NaN	-0.281	NaN	NaN	0.296	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.273	NaN	-0.052	NaN	NaN	NaN	NaN	NaN	0.253	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.37	NaN	NaN	NaN	NaN	NaN	NaN	-0.243	0.608	NaN	NaN	NaN	-0.134	NaN	NaN	-0.215	NaN	NaN	0.216	NaN	-0.131	0.182	
9797	KIAA1014|FNBP4	|formin binding protein 4	0.311	0.655	-0.547	0.659	0.564	0.03	0.687	0.183	-0.036	-0.073	-0.086	0.122	-0.191	0.138	2.018	0.44	NaN	0.115	-0.0080	0.123	0.116	0.661	-0.379	-0.561	-0.509	-0.674	0.344	-0.659	-0.279	-0.187	-0.433	-0.287	-0.22	0.475	NaN	0.854	NaN	0.267	0.039	NaN	0.21	0.172	0.073	0.388	-0.038	0.554	-0.471	1.082	0.388	0.074	0.121	0.242	-0.877	0.527	0.196	-0.32	-0.479	NaN	0.182	0.282	-0.735	-0.305	-0.456	0.095	-0.239	NaN	0.289	0.079	
9798	PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	NaN	NaN	0.5	-0.71	-0.103	0.067	-0.546	-0.218	-0.957	0.086	0.652	-1.26	-0.653	-2.447	-1.327	-1.237	NaN	0.684	-0.018	0.115	-0.579	0.409	0.616	-1.475	0.545	-1.67	NaN	NaN	NaN	NaN	-0.759	0.259	0.249	-0.508	NaN	2.666	NaN	2.203	0.664	NaN	0.876	NaN	0.906	0.482	0.091	NaN	-2.92	-0.097	NaN	1.301	NaN	-0.311	-2.665	-0.111	-0.697	0.123	0.209	1.334	0.949	1.23	NaN	0.463	1.043	1.801	0.202	NaN	-0.283	0.638	
9799	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	0.114	0.063	0.183	-0.09	-0.0090	-0.076	-0.147	0.047	0.249	0.134	0.034	0.395	0.51	-0.408	0.0080	0.232	-0.36	-0.275	0.102	0.157	-0.162	0.292	-0.391	0.473	1.099	0.099	0.386	0.291	-0.297	0.476	0.357	0.392	-0.276	0.289	NaN	0.621	-0.075	0.154	-0.074	NaN	0.355	NaN	-0.131	0.234	-0.596	0.272	0.257	0.604	0.234	1.168	0.396	-0.084	-0.066	0.689	-0.461	0.109	-0.546	0.144	-0.605	-0.41	-0.409	-0.177	1.345	0.844	0.012	NaN	0.657	0.0	
98	FOXO1A|FOXO1	|forkhead box O1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
980	STOX1	storkhead box 1	NaN	NaN	NaN	1.996	NaN	NaN	1.874	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.926	NaN	NaN	NaN	NaN	NaN	NaN	1.284	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.232	NaN	NaN	NaN	NaN	2.418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
9800	HSD17B11	hydroxysteroid (17-beta) dehydrogenase 11	0.78	1.481	-0.379	1.052	2.12	2.137	0.86	0.24	1.468	0.824	0.909	1.141	1.354	-1.372	-1.011	-0.778	0.386	0.482	0.706	NaN	0.078	-2.477	0.502	0.645	0.305	1.139	0.073	0.949	0.615	0.609	1.487	0.42	0.673	0.057	NaN	0.699	0.923	0.818	-2.848	NaN	-1.425	-1.739	-1.152	-1.993	-1.96	NaN	0.809	-2.421	-1.473	1.971	-2.047	NaN	0.563	-1.987	-3.575	-2.295	-0.24	0.664	-1.937	NaN	-0.694	-0.028	1.172	-0.371	-0.613	NaN	0.686	-1.03	
9801	RP11-92J19.4.aApr07-unspliced|NAMPT	|nicotinamide phosphoribosyltransferase	0.032	-1.091	0.046	-0.911	0.185	-0.874	-0.881	0.309	-0.416	-0.352	-1.335	0.539	0.637	2.846	-0.465	-1.061	0.299	-1.474	-1.096	NaN	-0.543	-1.411	0.223	0.236	0.313	-0.42	-0.163	1.16	0.384	0.548	-0.247	-0.192	-0.597	-0.729	2.38	-0.933	0.415	1.184	2.001	-0.978	-0.933	-1.315	-0.713	-0.423	0.894	-0.429	0.014	0.306	-0.116	2.445	0.108	-0.525	0.016	0.774	-1.164	-0.567	-0.688	1.842	0.024	-0.632	0.463	-0.357	-0.413	-0.584	-1.214	-0.436	0.88	-0.357	
9802	PELOandITGA1.fApr07|stoyplaby.bApr07|stoyplaby.aApr07	||	NaN	NaN	-0.139	-0.309	NaN	0.778	-0.217	0.551	NaN	NaN	-0.05	0.339	0.486	0.54	-0.21	0.027	NaN	0.344	0.944	0.599	-0.225	0.175	0.122	0.121	-0.524	0.228	NaN	NaN	NaN	0.185	-0.052	-0.129	-0.413	-0.426	NaN	-0.359	NaN	0.796	1.13	NaN	NaN	NaN	0.153	0.457	0.519	1.253	-0.797	-0.517	NaN	0.609	NaN	0.072	-0.794	-0.19	-0.622	0.882	NaN	NaN	0.665	0.301	0.796	-0.423	NaN	1.253	0.166	NaN	0.877	-0.635	
9803	IGSF3	immunoglobulin superfamily, member 3	NaN	NaN	NaN	NaN	NaN	0.572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.079	NaN	0.351	NaN	0.58	NaN	1.602	0.339	1.983	1.982	2.092	1.416	2.121	-0.182	NaN	NaN	0.071	NaN	NaN	NaN	NaN	-0.239	NaN	1.65	NaN	1.044	NaN	NaN	NaN	0.452	2.009	1.005	NaN	1.279	2.145	NaN	1.787	1.382	NaN	0.812	NaN	1.044	NaN	0.872	1.201	NaN	NaN	0.178	NaN	NaN	NaN	
9804	ICK	intestinal cell (MAK-like) kinase	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
9805	YIPF3	Yip1 domain family, member 3	-0.103	-0.224	-0.498	0.0090	0.079	0.05	-0.37	-0.033	0.393	0.066	0.471	0.218	0.503	0.515	0.354	0.523	-0.636	0.544	-0.116	-0.573	0.023	0.625	0.365	-1.15	-1.095	0.055	-0.876	0.047	-0.115	0.035	-0.08	-0.063	0.113	-0.336	0.177	-0.113	-0.431	-0.461	0.962	0.371	0.297	-0.0010	-0.698	-0.044	0.174	0.0060	-0.947	0.705	-0.143	0.604	0.451	-0.574	-0.975	0.73	-0.135	0.205	0.032	-0.263	0.079	0.404	-0.067	-0.019	-0.0080	1.087	-0.048	0.512	0.516	-0.236	
